SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
39,Oruç 1 2025,SQR_1_0.56_400_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,100,100,,2,90,325,450,9.98,10.46,Local buckling,,,,9.98,False,False,False,b6390c9ef2ee59ea79eea941724d212f,False
40,Oruç 1 2025,SQR_1_0.56_800_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,100,100,,2,90,200,850,10.16,10.66,Local buckling,,,,10.16,False,False,False,4772b8f2f3829b688551114369997c0f,False
41,Oruç 1 2025,SQR_1_0.56_1000_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,100,100,,2,90,100,1100,9.69,10.61,Local buckling,,,,9.69,False,False,False,118ea09657229aabf130cb841810c704,False
42,Oruç 1 2025,SQR_1_0.28_275_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,50,50,,3,90,325,325,10.99,10.77,Local buckling,,,,10.99,False,False,False,9bdaa501de5fd2e13e416f9cfa328a60,False
43,Oruç 1 2025,SQR_1_0.56_250_2–1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,100,100,,3,90,300,350,10.17,10.17,Local buckling,,,,10.17,False,False,False,a6ae47b29a0d1bb7a2d79e9ec5478ea1,False
44,Oruç 1 2025,SQR_1_0.42_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,75,75,,1,90,687.5,,,11.64,Local buckling,,,,11.64,True,False,False,4df171b9de3e44a0108a8cefc877b931,False
45,Oruç 1 2025,SQR_1_0.42_383_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,75,75,,2,90,421,458,,11.64,Local buckling,,,,11.64,True,False,False,2da648773f26428ec496f25abeda8daf,False
46,Oruç 1 2025,SQR_1_0.42_268_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,75,75,,3,90,307,343,,11.6,Local buckling,,,,11.6,True,False,False,68777bb25a526b9b327eef70d9bc53a5,False
47,Oruç 1 2025,SQR_1_0.42_200_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,75,75,,4,90,237.5,275,,11.53,Local buckling,,,,11.53,True,False,False,f33b151219c88d75c7b8bf4390a4b483,False
48,Oruç 1 2025,SQR_1_0.42_154_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,75,75,,5,90,192,229,,11.51,Local buckling,,,,11.51,True,False,False,4964db8449308087476090a9d243bff5,False
49,Oruç 1 2025,SQR_1_0.67_0_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,120,120,,1,90,710,,,10.48,Local buckling,10.76,,,10.48,True,False,False,34435a6232247b6f1152e11da5401e30,False
50,Oruç 1 2025,SQR_1_0.67_353_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,120,120,,2,90,413.5,473,,10.5,Local buckling,10.76,,,10.5,True,False,False,c72869403ce884760b8ea93f0ea4ac90,False
51,Oruç 1 2025,SQR_1_0.67_235_2,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2,4470,180,64,64,28,28,,6,square,120,120,,3,90,295,355,,10.35,Local buckling,10.76,,,10.35,True,False,False,93a9eeb2542c4dc7167f061ddeeaa279,False
