SL. No,SPECIMEN,JOURNAL TITLE,geometry_signature,y,y_from_fem,replicate_count
131,H200r0.2d40t2.0-2,"Zhao et al., 2019",bf5ffda00e46c04327992482d0449edc,16.684,False,1
132,H200r0.4d40t2.0-1,"Zhao et al., 2019",a5b27dcb7ed396823bc4151d72273878,16.333,False,1
133,H200r0.4d40t2.0-2,"Zhao et al., 2019",6fd53fd6ad4438b95a75b57f7f2f7a85,16.333,False,1
134,H200r0.6d40t2.0-1,"Zhao et al., 2019",68387d50c5112462ab94710f6abaef34,15.154,False,1
135,H200r0.6d40t2.0-2,"Zhao et al., 2019",98b9cebf94e1f7269d459e9307fc5565,15.154,False,1
136,H200r0.8d40t2.0-1,"Zhao et al., 2019",fa3c1ef2ac24571a5b7af5426d4aaa11,14.565,False,1
137,H200r0.8d40t2.0-2,"Zhao et al., 2019",7c5c4284e888fb4dc64dd92c0a1d29fb,14.565,False,1
138,H180r0.2d20t2.0,"Zhao et al., 2019",40c0930f8be4f89a90af7cb624f4c9dc,11.82,True,1
139,H180r0.4d20t2.0,"Zhao et al., 2019",e6e1a7f62fe54b372d4f496c61bce24c,11.41,True,1
140,H180r0.6d20t2.0,"Zhao et al., 2019",6dce4d0b1aed8783a066887ad98ffe8b,11.08,True,1
141,H180r0.8d20t2.0,"Zhao et al., 2019",73da0ce24ed41d98ff836c1e44304cb1,10.16,True,1
142,H180r0.2d20t2.5,"Zhao et al., 2019",62b4ea8ca4f1e7fe657c57bbc3cbc259,16.18,True,1
143,H180r0.4d20t2.5,"Zhao et al., 2019",768ec5f2cce05cb578fe63961224705f,15.52,True,1
144,H180r0.6d20t2.5,"Zhao et al., 2019",b7f999729e6e915bd47855a1120a76ce,14.81,True,1
145,H180r0.8d20t2.5,"Zhao et al., 2019",8af53d577f6911d743bad0cb87e2f7a3,13.31,True,2
146,H180r0.2d20t3.0,"Zhao et al., 2019",fa224eb49973c3376e79bf28e8b07042,20.24,True,1
147,H180r0.4d20t3.0,"Zhao et al., 2019",5afab0dcdc0876eee2080b9f8456e8ac,19.39,True,1
148,H180r0.6d20t3.0,"Zhao et al., 2019",fca74f011145dbb78e2452f03fc6b9ed,18.29,True,1
149,H180r0.8d20t3.0,"Zhao et al., 2019",8af53d577f6911d743bad0cb87e2f7a3,16.11,True,2
150,H200r0.2d20t2.5,"Zhao et al., 2019",f599ae623b27896ff228bdeea8489245,18.37,True,1
151,H200r0.4d20t2.5,"Zhao et al., 2019",21a9fbeb0442f00ce25fa35c3856c72a,17.61,True,1
152,H200r0.6d20t2.5,"Zhao et al., 2019",95c940314a854819410e3d923ab05cac,16.79,True,1
153,H200r0.8d20t2.5,"Zhao et al., 2019",b68887466919ef91ded4db5d1b00d9be,15.24,True,1
