JOURNAL TITLE,geometry_signature,Fy,Fu,E,t,L,bw,bf1,bf2,bl1,bl2,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,target_mean,target_std,replicate_count
Oruç 1 2025,1fd409165a46aff86753811e02b8d41e,326.5,331.2,202800,0.5,4470,180,64,64,28,28,1.5,square,160,160,,1,90,730,,1.01,,1
Oruç 1 2025,22b85a822919b728895138dfe1e4c600,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,50,50,,2,90,425,450,11.17,,1
Oruç 1 2025,2b84f66ac5a985b3782ec899d38a120a,326.5,331.2,202800,2.5,4470,180,64,64,28,28,7.5,no_hole,,,,,,,,15.19,,1
Oruç 1 2025,2da648773f26428ec496f25abeda8daf,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,75,75,,2,90,421,458,11.64,,1
Oruç 1 2025,2edf379f2b985778b44862035ab7bc02,326.5,331.2,202800,3,4470,180,64,64,28,28,9,square,160,160,,1,90,730,,11.74,,1
Oruç 1 2025,2fab3b00d5e5a6ef1cc101598bc1babc,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,120,120,,5,90,178,236,10.3,,1
Oruç 1 2025,2facd0147f038821d3b08a6f80e422c0,326.5,331.2,202800,3,4470,180,64,64,28,28,9,square,140,140,,1,90,720,,14.28,,1
Oruç 1 2025,30b6af14d61eb75611cf466781b344ab,326.5,331.2,202800,4,4470,180,64,64,28,28,12,square,160,160,,1,90,730,,16.74,,1
Oruç 1 2025,32f08ea596f3493c695c1ce35e340623,326.5,331.2,202800,3,4470,180,64,64,28,28,9,square,120,120,,1,90,710,,16.38,,1
Oruç 1 2025,34435a6232247b6f1152e11da5401e30,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,120,120,,1,90,710,,10.48,,1
Oruç 1 2025,34d66b6cd095e694b3a7d816cecf4ac3,326.5,331.2,202800,1.5,4470,180,64,64,28,28,4.5,square,160,160,,1,90,730,,5.14,,1
Oruç 1 2025,3796d8a4389435909eaa4b37c5f5c578,326.5,331.2,202800,1.5,4470,180,64,64,28,28,4.5,square,140,140,,1,90,720,,6.58,,1
Oruç 1 2025,386ed6bb1864da1fcc1b08a72bd44ee6,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,300,120,,1,90,800,,10.21,,1
Oruç 1 2025,3d457e1d6e244833255558f591245e1d,326.5,331.2,202800,3.5,4470,180,64,64,28,28,10.5,square,120,120,,1,90,710,,19.27,,1
Oruç 1 2025,3dabc986a107dc403f541a508a18a81e,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,120,120,,4,90,224,284,10.37,,1
Oruç 1 2025,4075bda634bbb489d73a1228d7946c05,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,50,50,,2,90,225,850,11.2,,1
Oruç 1 2025,4772b8f2f3829b688551114369997c0f,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,100,100,,2,90,200,850,10.16,,1
Oruç 1 2025,48b3d94525f179c545695c19f46f749a,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,600,75,,1,90,950,,9.66,,1
Oruç 1 2025,4964db8449308087476090a9d243bff5,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,75,75,,5,90,192,229,11.51,,1
Oruç 1 2025,4df171b9de3e44a0108a8cefc877b931,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,75,75,,1,90,687.5,,11.64,,1
Oruç 1 2025,5219f65ac8126a4a14a1d7021ecd33d4,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,140,140,,5,90,170,220,9.17,,1
Oruç 1 2025,532b8b6f6b363b33c311c43184b67480,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,1200,160,,1,90,1250,,2.39,,1
Oruç 1 2025,53559d7c84bae94529db012f3973b3ef,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,140,140,,4,90,218,268,9.3,,1
Oruç 1 2025,5498534260c01e6b26de4a7981685cbd,326.5,331.2,202800,4,4470,180,64,64,28,28,12,no_hole,,,,,,,,26.26,,1
Oruç 1 2025,57fb3328ce1f3977540dd191b0669664,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,150,160,,1,90,725,,7.49,,1
Oruç 1 2025,5fe8057d47984ec4a3650eb872652dbe,326.5,331.2,202800,4,4470,180,64,64,28,28,12,square,120,120,,1,90,710,,22.24,,1
Oruç 1 2025,64457b8e562dcab2c8643efebd297f7d,326.5,331.2,202800,3.5,4470,180,64,64,28,28,10.5,no_hole,,,,,,,,22.52,,1
Oruç 1 2025,653c271d73c32fcf9ef7d113ffaa693a,326.5,331.2,202800,0.5,4470,180,64,64,28,28,1.5,square,140,140,,1,90,720,,0.99,,1
Oruç 1 2025,68777bb25a526b9b327eef70d9bc53a5,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,75,75,,3,90,307,343,11.6,,1
Oruç 1 2025,696890d1f56fd505d6e9faa9573019c4,326.5,331.2,202800,1.5,4470,180,64,64,28,28,4.5,square,120,120,,1,90,710,,7.37,,1
Oruç 1 2025,69d946084712d392e94623e741d89881,326.5,331.2,202800,2,4470,180,64,64,28,28,6,no_hole,,,,,,,,11.57,,1
Oruç 1 2025,69fc9f59d9aee9de2580e988dcbcb306,326.5,331.2,202800,4,4470,180,64,64,28,28,12,square,140,140,,1,90,720,,19.93,,1
Oruç 1 2025,6af8292854651b48a0a089211e7f26e0,326.5,331.2,202800,1.5,4470,180,64,64,28,28,4.5,no_hole,,,,,,,,8.0,,1
Oruç 1 2025,6fc1ff44f5b252a78b577420cb1f0ace,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,75,120,,1,90,687.5,,10.51,,1
Oruç 1 2025,70f6b98f677efb9b611482f7f728cb20,326.5,331.2,202800,3.5,4470,180,64,64,28,28,10.5,square,140,140,,1,90,720,,17.24,,1
Oruç 1 2025,7c48e301bf2c0a70b1d30328792bd31c,326.5,331.2,202800,2.5,4470,180,64,64,28,28,7.5,square,140,140,,1,90,720,,12.13,,1
Oruç 1 2025,7f7fbff0c6260924b630d0682be43187,326.5,331.2,202800,1,4470,180,64,64,28,28,3,no_hole,,,,,,,,4.38,,1
Oruç 1 2025,7f86517abb5063515fe46366af2333fd,326.5,331.2,202800,2.5,4470,180,64,64,28,28,7.5,square,120,120,,1,90,710,,13.38,,1
Oruç 1 2025,84ec8b2c17617a95b6dd9803a501b95e,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,50,50,,2,90,125,1050,11.5,,1
Oruç 1 2025,8d7a4e894d55095a56f908db2bddc891,326.5,331.2,202800,0.5,4470,180,64,64,28,28,1.5,square,75,75,,1,90,687.5,,1.47,,1
Oruç 1 2025,93a9eeb2542c4dc7167f061ddeeaa279,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,120,120,,3,90,295,355,10.35,,1
Oruç 1 2025,9bdaa501de5fd2e13e416f9cfa328a60,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,50,50,,3,90,325,325,10.99,,1
Oruç 1 2025,a161b1dae0da28ecbb1a272adb2086fd,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,300,140,,1,90,800,,8.72,,1
Oruç 1 2025,a16fb47fa2e6119056172fff9689bf7a,326.5,331.2,202800,3,4470,180,64,64,28,28,9,no_hole,,,,,,,,18.78,,1
Oruç 1 2025,a43bf721abeafb019b08f33440bef1a5,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,100,100,,1,90,625,,9.88,,1
Oruç 1 2025,a6ae47b29a0d1bb7a2d79e9ec5478ea1,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,100,100,,3,90,300,350,10.17,,1
